User,Day 1 Pull 1,Day 1 Pull 2,Day 2 Pull 1,Day 2 Pull 2,Day 3 Pull 1,Day 3 Pull 2,Day 4 Pull 1,Day 4 Pull 2,Day 5 Pull 1,Day 5 Pull 2
72,Common_E,Common_E,Common_B,Common_E,Common_A,Common_E,Common_B,Common_C,Common_D,Common_C
73,Common_D,Common_E,Common_C,Common_D,Rare_D,Common_C,Common_D,Common_D,Common_E,Common_C
74,Common_E,Common_D,Common_D,Common_D,Common_C,Common_D,Common_B,Common_B,Common_B,Common_C
75,Common_B,Common_D,Common_D,Common_D,Common_D,Common_C,Common_D,Common_E,Common_D,Common_D
76,Rare_B,Common_E,Common_A,Common_E,Common_E,Rare_B,Rare_D,Common_B,Common_B,Common_B
77,Common_D,Common_E,Common_B,Common_D,Common_B,Common_D,Common_A,Common_D,Common_E,Common_B
78,Common_B,Rare_A,Common_C,Common_E,Common_A,Common_A,Common_C,Common_E,Common_C,Common_C
79,Common_C,Common_A,Common_B,Common_D,Common_A,Common_B,Common_C,Common_B,Rare_E,Common_D
80,Common_D,Common_C,Rare_A,Common_D,Common_C,Common_A,Common_D,Common_A,Common_D,Common_D
81,Common_D,Common_A,Common_C,Rare_D,Common_C,Common_B,Common_C,Common_D,Common_E,Common_E
82,Common_B,Common_D,Common_B,Common_D,Common_A,Common_E,Common_E,Common_D,Common_E,Common_B
83,Common_D,Common_A,Common_B,Common_D,Common_C,Common_E,Common_B,Common_A,Common_A,Common_C
84,Common_D,Common_B,Common_D,Rare_D,Common_B,Common_C,Common_B,Common_B,Common_E,Common_E
85,Common_E,Common_D,Common_C,Common_B,Common_E,Common_C,Common_B,Common_E,Common_D,Common_A
86,Common_D,Common_D,Common_A,Common_E,Common_B,Common_E,Common_B,Common_D,Common_E,Common_B
87,Common_D,Common_E,Common_D,Common_B,Common_D,Common_A,Common_E,Common_B,Common_A,Common_E
88,Common_B,Common_A,Common_B,Common_D,Common_C,Common_C,Rare_B,Common_B,Common_B,Common_B
89,Common_B,Common_A,Common_B,Common_A,Common_D,Common_B,Common_C,Common_B,Common_A,Common_A
90,Common_E,Common_B,Common_C,Common_B,Common_E,Common_D,Common_D,Common_D,Common_C,Common_B
91,Rare_A,Common_B,Common_E,Common_C,Common_B,Common_E,Common_C,Common_A,Common_A,Common_E
92,Common_D,Common_C,Common_D,Common_E,Common_A,Rare_B,Common_C,Common_C,Rare_C,Common_B
93,Common_B,Common_E,Common_B,Common_C,Common_E,Common_B,Common_A,Common_E,Common_B,Common_B
94,Common_B,Common_B,Common_E,Common_A,Rare_C,Common_B,Common_B,Common_B,Common_C,Common_B
95,Common_A,Common_C,Common_B,Common_B,Common_A,Common_D,Common_C,Common_A,Common_E,Common_B
96,Common_C,Common_A,Common_A,Common_A,Common_E,Common_D,Common_A,Common_D,Common_B,Common_D
97,Common_B,Common_C,Common_D,Common_D,Rare_C,Common_B,Common_B,Common_D,Common_D,Common_A
98,Common_D,Common_E,Common_A,Common_C,Common_E,Common_A,Common_D,Common_E,Common_C,Common_A
99,Common_E,Common_D,Common_E,Common_C,Common_C,Rare_C,Common_E,Common_A,Common_D,Common_E
100,Common_C,Common_C,Common_D,Common_D,Common_E,Rare_D,Common_C,Common_D,Common_C,Common_C
